level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	7084	9742	-1	
2	1	1	0	0	0	2478	1820	1558	599	-1	
3	1	1	1	0	0	1936	1580	2100	839	-1	
4	1	1	1	1	0	2478	1820	1558	599	-1	
5	1	1	1	1	1	1936	2195	238	116	12.607946	_
5	1	1	1	1	2	2478	1820	1558	599	26.800976	Son
2	1	2	0	0	0	2202	2611	1284	136	-1	
3	1	2	1	0	0	2202	2611	1284	136	-1	
4	1	2	1	1	0	2202	2611	1284	136	-1	
5	1	2	1	1	1	2202	2611	138	116	84.652336	IS
5	1	2	1	1	2	2432	2611	242	117	82.238434	OUR
5	1	2	1	1	3	2770	2614	716	133	96.055870	HERITAGE,
2	1	3	0	0	0	2278	3860	1786	139	-1	
3	1	3	1	0	0	2278	3860	1786	139	-1	
4	1	3	1	1	0	2278	3860	1786	139	-1	
5	1	3	1	1	1	2278	3860	139	117	94.390594	IS
5	1	3	1	1	2	2511	3861	239	117	88.463974	OUR
5	1	3	1	1	3	2848	3863	1216	136	96.205444	RESPONSIBILITY,
2	1	4	0	0	0	2415	4361	2481	620	-1	
3	1	4	1	0	0	1923	4361	2973	620	-1	
4	1	4	1	1	0	2415	4361	2481	620	-1	
5	1	4	1	1	1	1923	4694	238	117	26.180729	on
5	1	4	1	1	2	3052	4135	426	850	17.418575	a
2	1	5	0	0	0	2273	5111	1368	125	-1	
3	1	5	1	0	0	2273	5111	1368	125	-1	
4	1	5	1	1	0	2273	5111	1368	125	-1	
5	1	5	1	1	1	2273	5111	137	117	89.017166	IS
5	1	5	1	1	2	2504	5112	240	118	94.157234	OUR
5	1	5	1	1	3	2839	5115	802	121	38.046272	CHALLENGE.
2	1	6	0	0	0	7036	9110	48	34	-1	
3	1	6	1	0	0	7036	9110	48	34	-1	
4	1	6	1	1	0	7036	9110	48	34	-1	
5	1	6	1	1	1	7036	9110	48	34	95.000000	 
2	1	7	0	0	0	309	9104	6740	44	-1	
3	1	7	1	0	0	309	9104	6740	33	-1	
4	1	7	1	1	0	6059	9104	990	29	-1	
5	1	7	1	1	1	6059	9117	49	6	16.867056	te
5	1	7	1	1	2	6173	9117	37	6	43.586571	=
5	1	7	1	1	3	6269	9117	6	3	34.566574	-
5	1	7	1	1	4	6406	9116	15	7	80.776649	~
5	1	7	1	1	5	6483	9117	29	6	27.732658	—_
5	1	7	1	1	6	6608	9117	4	3	0.000000	-
5	1	7	1	1	7	6694	9116	18	4	41.963535	a
5	1	7	1	1	8	6884	9104	64	29	0.000000	>——
5	1	7	1	1	9	7036	9120	13	7	66.300537	—
4	1	7	1	2	0	561	9115	6110	33	-1	
5	1	7	1	2	1	561	9120	80	28	27.260193	——
5	1	7	1	2	2	673	9120	77	28	27.471004	——
5	1	7	1	2	3	880	9120	80	28	12.090015	=—_w
5	1	7	1	2	4	1092	9123	288	14	4.295826	Eee
5	1	7	1	2	5	1424	9119	56	28	44.605026	ee
5	1	7	1	2	6	1526	9119	57	28	35.383457	ee
5	1	7	1	2	7	1723	9119	76	28	17.077799	—_—_—
5	1	7	1	2	8	1824	9128	54	7	66.981247	—-
5	1	7	1	2	9	1937	9128	178	7	13.746872	sae
5	1	7	1	2	10	2236	9118	169	28	33.174610	eee
5	1	7	1	2	11	2413	9118	13	28	33.174610	es
5	1	7	1	2	12	2453	9118	182	28	34.457417	ee
5	1	7	1	2	13	3190	9117	187	28	11.787148	—_—_——_—_—_-—
5	1	7	1	2	14	3390	9117	17	28	51.230797	i
5	1	7	1	2	15	3418	9117	31	28	27.288275	or
5	1	7	1	2	16	3472	9117	29	28	6.364756	-
5	1	7	1	2	17	3528	9117	66	28	0.000000	rr
5	1	7	1	2	18	3603	9117	14	28	20.699072	oo
5	1	7	1	2	19	3937	9116	76	28	36.987000	——
5	1	7	1	2	20	4108	9123	221	12	45.084743	ee
5	1	7	1	2	21	4559	9116	86	28	0.000000	——es
5	1	7	1	2	22	4667	9116	75	28	52.844601	ae
5	1	7	1	2	23	5083	9122	82	10	67.247879	—
5	1	7	1	2	24	5214	9115	68	28	26.297588	es
5	1	7	1	2	25	5503	9115	514	28	0.000000	[eeilllieeeeneeanntilceeenttillseenecnstillliennemnatiad
5	1	7	1	2	26	6665	9124	6	4	0.000000	-
4	1	7	1	3	0	309	9118	757	28	-1	
5	1	7	1	3	1	309	9118	155	28	8.060274	SS
5	1	7	1	3	2	498	9118	38	28	30.022255	el
5	1	7	1	3	3	770	9124	96	13	32.432209	a
5	1	7	1	3	4	987	9123	79	14	23.685255	—_—~
2	1	8	0	0	0	2667	9135	393	12	-1	
3	1	8	1	0	0	2667	9135	393	12	-1	
4	1	8	1	1	0	2667	9135	393	12	-1	
5	1	8	1	1	1	2667	9135	393	12	95.000000	 
2	1	9	0	0	0	7078	9135	6	369	-1	
3	1	9	1	0	0	7078	9135	6	369	-1	
4	1	9	1	1	0	7078	9135	6	369	-1	
5	1	9	1	1	1	7078	9135	6	369	95.000000	 
2	1	10	0	0	0	0	9724	7084	16	-1	
3	1	10	1	0	0	0	9724	7084	16	-1	
4	1	10	1	1	0	0	9724	7084	16	-1	
5	1	10	1	1	1	0	9724	7084	16	95.000000	 
