level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	5195	7144	-1	
2	1	1	0	0	0	59	568	263	394	-1	
3	1	1	1	0	0	59	568	263	394	-1	
4	1	1	1	1	0	59	568	263	394	-1	
5	1	1	1	1	1	59	568	263	394	95.000000	 
2	1	2	0	0	0	0	670	4514	3266	-1	
3	1	2	1	0	0	0	670	4514	3266	-1	
4	1	2	1	1	0	0	670	4514	3266	-1	
5	1	2	1	1	1	0	2924	290	680	95.000000	 
5	1	2	1	1	2	1336	670	3178	3266	95.000000	 
2	1	3	0	0	0	1991	5835	1396	318	-1	
3	1	3	1	0	0	1991	5835	1396	318	-1	
4	1	3	1	1	0	1994	5835	1336	110	-1	
5	1	3	1	1	1	1994	5835	417	94	96.077240	FRANCIS
5	1	3	1	1	2	2483	5847	359	89	96.093170	FAMILY
5	1	3	1	1	3	2911	5854	419	91	96.259682	REUNION
4	1	3	1	2	0	1992	5940	1395	108	-1	
5	1	3	1	2	1	1992	5940	463	101	96.378746	Enfield,
5	1	3	1	2	2	2542	5951	293	86	96.398254	North
5	1	3	1	2	3	2908	5957	479	91	95.943748	Carolina
4	1	3	1	3	0	1991	6043	1330	110	-1	
5	1	3	1	3	1	1991	6043	236	95	95.680099	July
5	1	3	1	3	2	2296	6046	98	85	87.125031	31
5	1	3	1	3	3	2486	6092	38	12	87.125031	-
5	1	3	1	3	4	2599	6053	221	94	85.623245	Aug.
5	1	3	1	3	5	2916	6058	87	95	92.752853	1,
5	1	3	1	3	6	3100	6061	221	86	95.963509	1993
2	1	4	0	0	0	5162	5888	32	563	-1	
3	1	4	1	0	0	5162	5888	32	563	-1	
4	1	4	1	1	0	5162	5888	32	563	-1	
5	1	4	1	1	1	5162	5948	32	503	11.732588	sll
5	1	4	1	1	2	5158	6211	37	47	27.649126	kn
5	1	4	1	1	3	5158	6146	37	35	24.507809	me
5	1	4	1	1	4	5158	6066	37	47	13.547363	(ow
5	1	4	1	1	5	5158	5998	37	35	0.000000	2
5	1	4	1	1	6	5191	5888	3	10	41.519505	ae
2	1	5	0	0	0	406	6490	4630	202	-1	
3	1	5	1	0	0	406	6490	4630	202	-1	
4	1	5	1	1	0	406	6490	4630	202	-1	
5	1	5	1	1	1	406	6490	4630	202	95.000000	 
2	1	6	0	0	0	341	6665	4853	43	-1	
3	1	6	1	0	0	341	6665	4853	43	-1	
4	1	6	1	1	0	341	6665	4853	43	-1	
5	1	6	1	1	1	341	6665	4853	43	95.000000	 
2	1	7	0	0	0	5185	6691	10	424	-1	
3	1	7	1	0	0	5185	6691	10	424	-1	
4	1	7	1	1	0	5185	6691	10	424	-1	
5	1	7	1	1	1	5185	6691	10	424	95.000000	 
2	1	8	0	0	0	0	6715	9	399	-1	
3	1	8	1	0	0	0	6715	9	399	-1	
4	1	8	1	1	0	0	6715	9	399	-1	
5	1	8	1	1	1	0	6715	9	399	95.000000	 
2	1	9	0	0	0	0	7112	5195	32	-1	
3	1	9	1	0	0	0	7112	5195	32	-1	
4	1	9	1	1	0	0	7112	5195	32	-1	
5	1	9	1	1	1	0	7112	5195	32	95.000000	 
