level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	5195	7144	-1	
2	1	1	0	0	0	3994	0	1201	6601	-1	
3	1	1	1	0	0	3994	0	1201	6601	-1	
4	1	1	1	1	0	3994	0	1201	6601	-1	
5	1	1	1	1	1	3994	0	161	247	95.000000	 
5	1	1	1	1	2	4992	0	203	6601	95.000000	  
2	1	2	0	0	0	1353	473	1674	223	-1	
3	1	2	1	0	0	1353	473	1674	223	-1	
4	1	2	1	1	0	1353	473	1674	223	-1	
5	1	2	1	1	1	1353	519	860	177	93.707947	ETERNAL
5	1	2	1	1	2	2255	473	660	214	83.810898	FLAME
5	1	2	1	1	3	2966	469	58	231	19.386101	~
2	1	3	0	0	0	488	765	280	306	-1	
3	1	3	1	0	0	488	765	280	306	-1	
4	1	3	1	1	0	488	765	280	306	-1	
5	1	3	1	1	1	488	765	280	306	84.603867	SS
2	1	4	0	0	0	35	1003	319	15	-1	
3	1	4	1	0	0	35	1003	319	15	-1	
4	1	4	1	1	0	35	1003	319	15	-1	
5	1	4	1	1	1	35	1003	319	15	95.000000	 
2	1	5	0	0	0	1275	939	2514	1093	-1	
3	1	5	1	0	0	1275	939	2514	1093	-1	
4	1	5	1	1	0	1356	939	1782	145	-1	
5	1	5	1	1	1	1356	942	323	106	96.174881	When
5	1	5	1	1	2	1722	942	166	107	96.295021	the
5	1	5	1	1	3	1930	941	240	107	96.453041	lives
5	1	5	1	1	4	2212	939	135	145	96.953735	of
5	1	5	1	1	5	2364	980	186	67	96.683159	our
5	1	5	1	1	6	2584	940	303	107	96.834610	loved
5	1	5	1	1	7	2907	979	231	68	96.324600	ones
4	1	5	1	2	0	1347	1096	2059	144	-1	
5	1	5	1	2	1	1347	1099	295	105	96.551247	Have
5	1	5	1	2	2	1690	1098	235	142	96.120216	only
5	1	5	1	2	3	1970	1135	67	68	95.798462	a
5	1	5	1	2	4	2080	1136	421	104	96.484848	memory
5	1	5	1	2	5	2548	1123	107	79	96.637535	to
5	1	5	1	2	6	2706	1096	272	107	96.308182	leave
5	1	5	1	2	7	3026	1096	380	107	95.981720	behind
4	1	5	1	3	0	1358	1251	2431	148	-1	
5	1	5	1	3	1	1358	1257	180	105	96.990471	We
5	1	5	1	3	2	1553	1254	269	145	96.845352	find
5	1	5	1	3	3	1846	1254	228	107	96.243858	that
5	1	5	1	3	4	2113	1293	185	68	96.243858	our
5	1	5	1	3	5	2332	1252	303	108	96.780296	loved
5	1	5	1	3	6	2654	1291	230	68	96.669243	ones
5	1	5	1	3	7	2926	1255	319	104	58.046650	aren't
5	1	5	1	3	8	3256	1252	191	144	96.699203	far
5	1	5	1	3	9	3477	1279	116	80	96.699203	at
5	1	5	1	3	10	3630	1251	159	108	95.035469	all
4	1	5	1	4	0	1355	1410	1722	111	-1	
5	1	5	1	4	1	1355	1426	212	95	96.970612	But
5	1	5	1	4	2	1606	1453	160	68	96.726219	are
5	1	5	1	4	3	1808	1451	241	70	96.188805	near
5	1	5	1	4	4	2080	1424	108	96	95.074303	in
5	1	5	1	4	5	2227	1412	281	108	96.723640	heart
5	1	5	1	4	6	2547	1410	219	108	96.589134	and
5	1	5	1	4	7	2787	1410	290	108	96.185799	mind
4	1	5	1	5	0	1352	1569	1666	147	-1	
5	1	5	1	5	1	1352	1584	206	111	91.358559	For
5	1	5	1	5	2	1599	1571	255	108	96.899406	their
5	1	5	1	5	3	1892	1570	254	146	96.537781	light
5	1	5	1	5	4	2187	1582	82	96	93.284126	is
5	1	5	1	5	5	2317	1569	701	144	91.844940	ever-glowing
4	1	5	1	6	0	1346	1729	1397	145	-1	
5	1	5	1	6	1	1346	1731	259	109	96.507378	And
5	1	5	1	6	2	1619	1731	666	142	94.977570	illuminating
5	1	5	1	6	3	2318	1729	162	109	96.858887	the
5	1	5	1	6	4	2501	1757	242	117	96.637367	past
4	1	5	1	7	0	1275	1888	1780	144	-1	
5	1	5	1	7	1	1275	1905	318	99	42.684536	Sure
5	1	5	1	7	2	1645	1917	104	80	96.971916	to
5	1	5	1	7	3	1789	1890	284	107	96.808189	shine
5	1	5	1	7	4	2095	1888	187	144	96.622139	for
